month,hour,is_weekend,temp_dry,humidity,wind_speed,cloud_cover,pressure,is_raining,season,kWh
1,11,0,28.21,59.06,3.52,24.52,1012.62,0,cool,0.1531
1,12,0,28.32,58.72,3.78,24.26,1008.68,0,cool,0.2846
1,13,0,28.21,59.06,0.91,42.15,1013.35,0,cool,0.2832
1,14,0,27.91,60.06,1.34,29.25,1005.41,0,cool,0.2106
1,15,0,27.44,61.65,2.8,11.0,1007.26,0,cool,0.1902
1,16,0,26.82,63.72,1.28,48.71,1011.91,0,cool,0.1804
1,17,0,26.09,66.13,2.03,18.25,1006.13,0,cool,0.2984
1,18,0,25.32,68.72,4.45,65.48,1007.58,0,cool,0.3114
1,19,0,24.54,71.31,2.88,43.31,1007.42,0,cool,0.2899
1,20,0,23.82,73.72,4.54,15.59,1014.0,0,cool,0.3438
1,21,0,23.19,75.79,3.77,30.95,1013.97,0,cool,0.3841
1,22,0,22.72,77.38,4.01,63.23,1011.42,0,cool,0.3553
1,23,0,22.42,78.38,0.96,10.55,1011.64,0,cool,0.3427
1,0,0,26.3,77.37,3.7,23.46,1007.37,0,cool,0.4215
1,1,0,26.4,77.03,4.32,48.98,1011.58,0,cool,0.3838
1,2,0,26.7,76.03,0.92,44.1,1008.68,0,cool,0.388
1,3,0,27.18,74.44,2.27,68.38,1013.92,0,cool,0.3984
1,4,0,27.8,72.37,4.08,47.87,1010.03,0,cool,0.421
1,5,0,28.52,69.96,3.75,21.71,1007.81,0,cool,0.4943
1,6,0,29.3,67.37,3.4,11.46,1006.77,0,cool,0.2094
1,7,0,30.08,64.78,4.68,10.93,1009.28,0,cool,0.2349
1,8,0,30.8,62.37,4.84,68.0,1013.53,0,cool,0.2101
1,9,0,31.42,60.3,1.93,61.07,1006.69,0,cool,0.1441
1,10,0,31.9,58.71,4.71,43.41,1011.96,0,cool,0.1598
1,11,0,32.2,57.71,4.96,46.9,1006.4,0,cool,0.1826
1,12,0,32.3,57.37,4.45,41.1,1012.41,0,cool,0.3219
1,13,0,32.2,57.71,1.82,31.57,1013.09,0,cool,0.3202
1,14,0,31.9,58.71,4.4,58.61,1014.13,0,cool,0.2174
1,15,0,31.42,60.3,3.42,57.9,1012.02,0,cool,0.2805
1,16,0,30.8,62.37,4.51,57.75,1008.38,0,cool,0.1832
1,17,0,30.08,64.78,0.66,44.7,1009.66,0,cool,0.3538
1,18,0,29.3,67.37,1.79,42.56,1010.91,0,cool,0.338
1,19,0,28.52,69.96,2.85,17.62,1012.7,0,cool,0.3581
1,20,0,27.8,72.37,3.3,22.95,1005.85,0,cool,0.4523
1,21,0,27.18,74.44,3.37,42.44,1012.26,0,cool,0.4261
1,22,0,26.7,76.03,2.82,68.55,1008.23,0,cool,0.4164
1,23,0,26.4,77.03,0.85,36.34,1005.25,0,cool,0.4172
1,0,0,22.34,83.31,1.63,19.39,1010.49,0,cool,0.3432
1,1,0,22.44,82.97,4.8,26.8,1012.38,0,cool,0.3515
1,2,0,22.74,81.97,3.25,43.26,1009.2,0,cool,0.3172
1,3,0,23.22,80.38,0.56,55.47,1006.16,0,cool,0.3151
1,4,0,23.84,78.31,0.68,12.76,1013.55,0,cool,0.3476
1,5,0,24.57,75.89,2.71,15.87,1009.73,0,cool,0.4033
1,6,0,25.34,73.31,2.45,20.39,1008.99,0,cool,0.2099
1,7,0,26.12,70.72,2.19,12.72,1011.26,0,cool,0.2123
1,8,0,26.84,68.31,4.35,40.19,1011.59,0,cool,0.1882
1,9,0,27.46,66.24,4.73,45.15,1010.75,0,cool,0.1495
1,10,0,27.94,64.65,3.39,33.29,1009.58,0,cool,0.1651
1,11,0,28.24,63.65,4.83,33.17,1014.05,0,cool,0.1548
1,12,0,28.34,63.31,0.81,21.75,1006.01,0,cool,0.247
1,13,0,28.24,63.65,4.3,29.14,1005.23,0,cool,0.2598
1,14,0,27.94,64.65,1.77,58.87,1006.18,0,cool,0.1957
1,15,0,27.46,66.24,3.81,62.65,1013.03,0,cool,0.202
1,16,0,26.84,68.31,1.3,26.92,1012.51,0,cool,0.1324
1,17,0,26.12,70.72,2.03,56.58,1014.31,0,cool,0.2776
1,18,0,25.34,73.31,2.43,61.5,1012.51,0,cool,0.2827
1,19,0,24.57,75.89,2.77,64.15,1013.26,0,cool,0.285
1,20,0,23.84,78.31,4.53,29.2,1008.89,0,cool,0.3677
1,21,0,23.22,80.38,4.78,67.0,1010.73,0,cool,0.3485
1,22,0,22.74,81.97,2.52,47.91,1007.93,0,cool,0.3754
1,23,0,22.44,82.97,4.06,55.14,1012.9,0,cool,0.3023
1,0,0,23.48,70.51,2.49,42.97,1013.88,0,cool,0.3291
1,1,0,23.58,70.17,3.93,18.58,1011.18,0,cool,0.3411
1,2,0,23.88,69.17,0.88,16.07,1012.01,0,cool,0.3437
1,3,0,24.36,67.58,4.94,15.09,1008.74,0,cool,0.3667
1,4,0,24.98,65.51,4.16,32.24,1014.47,0,cool,0.3593
1,5,0,25.71,63.1,3.01,56.63,1009.24,0,cool,0.3829
1,6,0,26.48,60.51,1.0,64.38,1009.93,0,cool,0.1887
1,7,0,27.26,57.93,1.03,13.38,1006.18,0,cool,0.1901
1,8,0,27.98,55.51,3.86,48.95,1010.83,0,cool,0.2001
1,9,0,28.6,53.44,4.41,27.14,1007.24,0,cool,0.1638
1,10,0,29.08,51.85,0.55,67.79,1014.7,0,cool,0.1634
1,11,0,29.38,50.85,2.99,14.43,1014.69,0,cool,0.1612
1,12,0,29.48,50.51,3.33,41.39,1011.96,0,cool,0.3124
1,13,0,29.38,50.85,4.56,45.06,1005.45,0,cool,0.2528
1,14,0,29.08,51.85,4.78,26.86,1013.9,0,cool,0.2292
1,15,0,28.6,53.44,1.35,26.64,1009.64,0,cool,0.1656
1,16,0,27.98,55.51,3.13,31.2,1005.78,0,cool,0.1838
1,17,0,27.26,57.93,4.16,28.57,1011.85,0,cool,0.3558
1,18,0,26.48,60.51,4.6,19.76,1013.23,0,cool,0.2808
1,19,0,25.71,63.1,4.4,65.96,1005.45,0,cool,0.3327
1,20,0,24.98,65.51,2.19,11.58,1013.11,0,cool,0.3614
1,21,0,24.36,67.58,4.29,68.19,1013.38,0,cool,0.4104
1,22,0,23.88,69.17,2.37,38.12,1007.73,0,cool,0.374
1,23,0,23.58,70.17,4.75,56.14,1013.5,0,cool,0.3485
1,0,1,23.03,67.0,3.23,67.24,1007.29,0,cool,0.3584
1,1,1,23.13,66.66,1.01,31.49,1011.72,0,cool,0.3699
1,2,1,23.43,65.66,3.98,41.22,1010.2,0,cool,0.3481
1,3,1,23.91,64.08,4.44,43.66,1009.03,0,cool,0.3767
1,4,1,24.53,62.0,0.63,18.04,1012.55,0,cool,0.395
1,5,1,25.25,59.59,1.11,22.78,1005.15,0,cool,0.3963
1,6,1,26.03,57.0,3.15,31.04,1008.92,0,cool,0.2028
1,7,1,26.81,54.42,2.81,30.9,1012.84,0,cool,0.1892
1,8,1,27.53,52.0,3.3,33.79,1013.62,0,cool,0.198
1,9,1,28.15,49.93,2.57,25.49,1014.8,0,cool,0.1687
1,10,1,28.63,48.34,1.98,39.56,1011.33,0,cool,0.2834
1,11,1,28.93,47.35,1.08,17.73,1006.52,0,cool,0.288
1,12,1,29.03,47.0,3.38,18.33,1006.82,0,cool,0.4115
1,13,1,28.93,47.35,3.5,38.44,1006.72,0,cool,0.389
1,14,1,28.63,48.34,0.68,21.54,1006.69,0,cool,0.2956
1,15,1,28.15,49.93,1.04,15.32,1009.61,0,cool,0.2944
1,16,1,27.53,52.0,2.14,22.38,1010.03,0,cool,0.2954
1,17,1,26.81,54.42,3.33,57.96,1005.82,0,cool,0.3127
1,18,1,26.03,57.0,4.64,62.41,1005.61,0,cool,0.3178
1,19,1,25.25,59.59,1.33,54.9,1007.09,0,cool,0.2772
1,20,1,24.53,62.0,2.68,32.23,1011.18,0,cool,0.3742
1,21,1,23.91,64.08,0.67,54.85,1007.52,0,cool,0.3306
1,22,1,23.43,65.66,4.53,52.8,1010.12,0,cool,0.3455
1,23,1,23.13,66.66,2.9,36.84,1007.42,0,cool,0.3407
1,0,1,22.37,67.89,3.29,68.46,1006.2,1,cool,0.2479
1,1,1,22.47,67.55,2.74,57.35,1005.87,0,cool,0.3449
1,2,1,22.77,66.55,3.85,45.21,1009.32,0,cool,0.3245
1,3,1,23.24,64.96,5.0,85.84,1008.56,1,cool,0.2425
1,4,1,23.87,62.89,1.57,46.35,1006.02,0,cool,0.3436
1,5,1,24.59,60.48,3.0,67.46,1006.73,1,cool,0.2622
1,6,1,25.37,57.89,2.86,14.81,1009.1,0,cool,0.187
1,7,1,26.14,55.3,1.66,59.02,1006.71,0,cool,0.1844
1,8,1,26.87,52.89,3.01,65.76,1010.72,0,cool,0.2111
1,9,1,27.49,50.82,3.98,72.95,1010.08,1,cool,0.0961
1,10,1,27.96,64.23,5.27,64.59,1007.89,1,cool,0.1856
1,11,1,28.26,63.23,0.73,41.96,1008.37,0,cool,0.2868
1,12,1,28.37,62.89,7.93,62.53,1008.22,1,cool,0.2771
1,13,1,28.26,63.23,3.18,55.61,1009.72,0,cool,0.399
1,14,1,27.96,64.23,4.68,30.93,1013.31,0,cool,0.3065
1,15,1,27.49,65.82,6.19,62.66,1010.74,1,cool,0.2244
1,16,1,26.87,67.89,4.08,18.39,1007.02,0,cool,0.2823
1,17,1,26.14,70.3,2.85,49.91,1008.59,0,cool,0.2959
1,18,1,25.37,72.89,4.17,33.55,1009.39,0,cool,0.2777
1,19,1,24.59,60.48,4.52,89.9,1007.32,1,cool,0.1655
1,20,1,23.87,62.89,2.95,33.03,1014.06,0,cool,0.3558
1,21,1,23.24,64.96,2.01,47.66,1006.39,0,cool,0.367
1,22,1,22.77,66.55,2.9,47.2,1013.94,0,cool,0.342
1,23,1,22.47,67.55,6.21,69.94,1005.34,1,cool,0.2531
1,0,0,25.76,77.01,4.2,30.52,1006.11,0,cool,0.414
1,1,0,25.87,76.67,1.53,19.0,1012.22,0,cool,0.3813
1,2,0,26.17,75.67,3.39,53.2,1011.94,0,cool,0.3632
1,3,0,26.64,74.08,1.32,30.74,1014.08,0,cool,0.4103
1,4,0,27.26,72.01,2.3,45.0,1009.62,0,cool,0.42
1,5,0,27.99,69.6,0.58,46.69,1013.72,0,cool,0.4828
1,6,0,28.76,67.01,3.04,65.93,1011.97,0,cool,0.2135
1,7,0,29.54,64.42,3.09,19.15,1011.07,0,cool,0.2248
1,8,0,30.26,62.01,3.81,35.45,1014.34,0,cool,0.2205
1,9,0,30.89,59.94,4.93,16.79,1013.39,0,cool,0.1865
1,10,0,31.36,58.35,4.64,17.48,1013.7,0,cool,0.2248
1,11,0,31.66,57.35,0.75,33.94,1008.35,0,cool,0.1865
1,12,0,31.76,57.01,0.52,58.17,1008.33,0,cool,0.3115
1,13,0,31.66,57.35,2.06,65.19,1008.47,0,cool,0.2469
1,14,0,31.36,58.35,2.53,54.25,1007.25,0,cool,0.1805
1,15,0,30.89,59.94,2.74,20.58,1009.19,0,cool,0.1963
1,16,0,30.26,62.01,2.13,64.89,1010.81,0,cool,0.1742
1,17,0,29.54,64.42,1.17,67.66,1009.15,0,cool,0.3613
1,18,0,28.76,67.01,4.99,15.12,1010.02,0,cool,0.3263
1,19,0,27.99,69.6,1.44,55.0,1013.98,0,cool,0.3317
1,20,0,27.26,72.01,1.36,22.31,1005.37,0,cool,0.4922
1,21,0,26.64,74.08,3.99,13.94,1009.53,0,cool,0.4064
1,22,0,26.17,75.67,2.48,41.46,1009.01,0,cool,0.3955
1,23,0,25.87,76.67,4.38,20.92,1014.46,0,cool,0.3943
1,0,0,21.39,71.11,0.61,34.52,1006.56,0,cool,0.3252
1,1,0,21.49,70.77,1.5,11.63,1007.31,0,cool,0.3338
1,2,0,21.79,69.77,0.59,50.31,1006.04,0,cool,0.3035
1,3,0,22.27,68.18,1.57,49.16,1005.99,0,cool,0.3327
1,4,0,22.89,66.11,3.75,24.59,1013.56,0,cool,0.3273
1,5,0,23.61,63.7,1.42,50.09,1007.93,0,cool,0.3712
1,6,0,24.39,61.11,0.56,63.78,1005.86,0,cool,0.1771
1,7,0,25.17,58.52,4.52,35.29,1013.17,0,cool,0.1524
1,8,0,25.89,56.11,1.67,30.51,1008.8,0,cool,0.1527
1,9,0,26.51,54.04,2.34,47.45,1010.52,0,cool,0.1541
1,10,0,26.99,52.45,1.83,36.17,1014.48,0,cool,0.1342
1,11,0,27.29,51.45,2.69,62.11,1013.95,0,cool,0.1551
1,12,0,27.39,51.11,2.41,57.99,1005.22,0,cool,0.2524
1,13,0,27.29,51.45,1.66,48.01,1006.39,0,cool,0.2109
1,14,0,26.99,52.45,4.93,60.1,1010.26,0,cool,0.1585
1,15,0,26.51,54.04,4.61,11.1,1006.18,0,cool,0.1501
1,16,0,25.89,56.11,1.73,44.59,1010.54,0,cool,0.1814
1,17,0,25.17,58.52,0.55,22.39,1006.37,0,cool,0.2978
1,18,0,24.39,61.11,4.43,64.0,1010.97,0,cool,0.3106
1,19,0,23.61,63.7,4.61,20.52,1009.19,0,cool,0.2864
1,20,0,22.89,66.11,2.84,32.99,1005.47,0,cool,0.3646
1,21,0,22.27,68.18,3.21,14.97,1007.45,0,cool,0.3274
1,22,0,21.79,69.77,1.8,33.36,1008.56,0,cool,0.3129
1,23,0,21.49,70.77,2.64,43.98,1011.64,0,cool,0.3295
1,0,0,23.64,75.9,1.68,11.87,1010.95,0,cool,0.3485
1,1,0,23.75,75.55,2.0,45.81,1012.71,0,cool,0.3374
1,2,0,24.04,74.56,0.84,16.4,1012.28,0,cool,0.3956
1,3,0,24.52,72.97,1.61,36.09,1013.19,0,cool,0.3641
1,4,0,25.14,70.9,3.63,57.96,1007.72,0,cool,0.3414
1,5,0,25.87,68.48,4.63,15.49,1006.37,0,cool,0.4131
1,6,0,26.64,65.9,2.51,67.01,1006.85,0,cool,0.2117
1,7,0,27.42,63.31,4.13,53.93,1011.59,0,cool,0.1997
1,8,0,28.14,60.9,4.32,51.54,1007.5,0,cool,0.1731
1,9,0,28.76,58.82,4.75,69.26,1005.39,0,cool,0.1557
1,10,0,29.24,57.23,4.66,52.33,1006.81,0,cool,0.1764
1,11,0,29.54,56.24,3.64,12.04,1007.97,0,cool,0.1646
1,12,0,29.64,55.9,4.87,65.46,1014.44,0,cool,0.2937
1,13,0,29.54,56.24,1.94,60.67,1013.29,0,cool,0.2683
1,14,0,29.24,57.23,3.18,12.22,1007.3,0,cool,0.1658
1,15,0,28.76,58.82,0.79,53.49,1008.15,0,cool,0.2085
1,16,0,28.14,60.9,4.06,42.37,1008.19,0,cool,0.1956
1,17,0,27.42,63.31,1.55,46.95,1005.24,0,cool,0.3263
1,18,0,26.64,65.9,0.6,62.21,1013.75,0,cool,0.3238
1,19,0,25.87,68.48,4.99,57.93,1008.51,0,cool,0.2993
1,20,0,25.14,70.9,2.31,56.03,1009.8,0,cool,0.4172
1,21,0,24.52,72.97,3.96,69.05,1009.18,0,cool,0.3928
1,22,0,24.04,74.56,3.82,35.28,1007.39,0,cool,0.3711
1,23,0,23.75,75.55,1.83,27.23,1007.34,0,cool,0.3344
1,0,0,23.45,76.17,1.48,50.78,1014.5,0,cool,0.3647
1,1,0,23.55,75.83,2.6,66.68,1011.13,0,cool,0.3426
1,2,0,23.85,74.83,4.96,20.02,1007.32,0,cool,0.3558
1,3,0,24.33,73.24,2.81,46.46,1007.31,0,cool,0.3713
1,4,0,24.95,71.17,1.49,20.59,1006.86,0,cool,0.3603
1,5,0,25.67,68.76,4.86,13.47,1013.84,0,cool,0.4103
1,6,0,26.45,66.17,4.98,65.67,1006.74,0,cool,0.2172
1,7,0,27.22,63.58,1.19,51.76,1013.16,0,cool,0.1842
1,8,0,27.95,61.17,1.51,23.47,1010.37,0,cool,0.2329
1,9,0,28.57,59.1,4.45,15.49,1007.66,0,cool,0.1915
1,10,0,29.05,57.51,4.5,17.77,1014.56,0,cool,0.1644
1,11,0,29.35,56.51,2.98,49.31,1005.87,0,cool,0.1674
1,12,0,29.45,56.17,2.18,34.51,1007.6,0,cool,0.2683
1,13,0,29.35,56.51,1.49,14.86,1011.83,0,cool,0.3037
1,14,0,29.05,57.51,4.33,14.57,1009.95,0,cool,0.2357
1,15,0,28.57,59.1,2.07,59.48,1011.78,0,cool,0.1709
1,16,0,27.95,61.17,1.7,43.94,1013.79,0,cool,0.1885
1,17,0,27.22,63.58,4.4,61.03,1012.08,0,cool,0.34
1,18,0,26.45,66.17,3.64,60.22,1011.8,0,cool,0.3343
1,19,0,25.67,68.76,4.46,19.52,1013.72,0,cool,0.3086
1,20,0,24.95,71.17,4.22,11.75,1006.29,0,cool,0.4191
1,21,0,24.33,73.24,4.18,19.65,1013.32,0,cool,0.3663
1,22,0,23.85,74.83,0.53,40.45,1007.87,0,cool,0.377
1,23,0,23.55,75.83,1.67,47.91,1011.34,0,cool,0.3478
1,0,0,25.74,76.07,2.94,55.66,1014.63,0,cool,0.4121
1,1,0,25.84,75.73,0.96,65.92,1014.37,0,cool,0.361
1,2,0,26.14,74.73,0.81,51.27,1008.01,0,cool,0.3881
1,3,0,26.62,73.14,2.06,44.93,1011.21,0,cool,0.4078
1,4,0,27.24,71.07,4.42,12.74,1014.73,0,cool,0.4233
1,5,0,27.97,68.66,0.6,11.48,1008.24,0,cool,0.419
1,6,0,28.74,66.07,3.97,39.32,1011.83,0,cool,0.1749
1,7,0,29.52,63.48,2.42,69.83,1009.51,0,cool,0.2076
1,8,0,30.24,61.07,4.08,19.82,1011.94,0,cool,0.2446
1,9,0,30.86,59.0,4.78,26.4,1006.51,0,cool,0.1969
1,10,0,31.34,57.41,4.75,35.94,1009.2,0,cool,0.1493
1,11,0,31.64,56.41,4.93,26.45,1009.09,0,cool,0.209
1,12,0,31.74,56.07,1.53,63.65,1007.13,0,cool,0.2957
1,13,0,31.64,56.41,4.39,32.11,1009.73,0,cool,0.2885
1,14,0,31.34,57.41,1.33,68.09,1013.69,0,cool,0.217
1,15,0,30.86,59.0,3.92,60.69,1011.26,0,cool,0.2136
1,16,0,30.24,61.07,0.65,17.87,1014.21,0,cool,0.2194
1,17,0,29.52,63.48,1.03,38.89,1006.25,0,cool,0.3605
1,18,0,28.74,66.07,2.44,51.13,1007.01,0,cool,0.3247
1,19,0,27.97,68.66,1.71,44.92,1012.98,0,cool,0.3281
1,20,0,27.24,71.07,2.55,28.62,1005.12,0,cool,0.4369
1,21,0,26.62,73.14,3.2,38.8,1007.92,0,cool,0.4143
1,22,0,26.14,74.73,4.37,51.7,1012.8,0,cool,0.4182
1,23,0,25.84,75.73,1.59,16.3,1014.87,0,cool,0.3784
1,0,1,23.49,69.21,3.02,52.15,1005.1,0,cool,0.35
1,1,1,23.6,68.87,2.08,15.27,1005.33,0,cool,0.3069
1,2,1,23.9,67.87,2.29,14.71,1006.33,0,cool,0.3893
1,3,1,24.37,66.28,1.4,58.04,1006.67,0,cool,0.3751
1,4,1,24.99,64.21,3.36,16.27,1012.06,0,cool,0.3751
1,5,1,25.72,61.8,4.42,52.54,1012.14,0,cool,0.3745
1,6,1,26.49,59.21,2.03,58.1,1013.15,0,cool,0.2155
1,7,1,27.27,56.62,3.4,37.14,1010.26,0,cool,0.1999
1,8,1,27.99,54.21,0.87,53.9,1005.6,0,cool,0.1893
1,9,1,28.62,52.14,1.49,62.31,1014.76,0,cool,0.1462
1,10,1,29.09,50.55,1.32,30.21,1012.9,0,cool,0.291
1,11,1,29.39,49.55,3.74,43.32,1007.28,0,cool,0.338
1,12,1,29.49,49.21,4.89,69.78,1011.5,0,cool,0.4164
1,13,1,29.39,49.55,0.64,14.33,1007.58,0,cool,0.382
1,14,1,29.09,50.55,4.41,37.76,1012.27,0,cool,0.3084
1,15,1,28.62,52.14,2.17,30.76,1014.88,0,cool,0.3432
1,16,1,27.99,54.21,4.4,12.41,1010.79,0,cool,0.3372
1,17,1,27.27,56.62,4.43,39.2,1014.01,0,cool,0.3093
1,18,1,26.49,59.21,1.75,35.3,1010.92,0,cool,0.3369
1,19,1,25.72,61.8,1.09,53.99,1012.16,0,cool,0.3239
1,20,1,24.99,64.21,1.31,64.54,1007.38,0,cool,0.3954
1,21,1,24.37,66.28,4.42,24.83,1009.45,0,cool,0.407
1,22,1,23.9,67.87,2.12,40.89,1010.93,0,cool,0.3669
1,23,1,23.6,68.87,1.66,68.16,1011.57,0,cool,0.3254
1,0,1,25.16,71.46,2.54,68.19,1007.36,0,cool,0.3351
1,1,1,25.26,71.12,2.44,59.73,1007.49,0,cool,0.384
1,2,1,25.56,70.12,3.68,47.03,1006.67,0,cool,0.4015
1,3,1,26.04,68.53,4.3,38.48,1013.06,0,cool,0.4179
1,4,1,26.66,66.46,4.41,45.12,1007.06,0,cool,0.3985
1,5,1,27.39,64.05,2.89,13.43,1014.37,0,cool,0.4076
1,6,1,28.16,61.46,1.05,12.36,1009.52,0,cool,0.2
1,7,1,28.94,58.87,0.69,40.43,1006.48,0,cool,0.2196
1,8,1,29.66,56.46,4.84,69.2,1005.05,0,cool,0.2198
1,9,1,30.28,54.39,2.55,62.08,1010.16,0,cool,0.1759
1,10,1,30.76,52.8,3.5,39.33,1006.4,0,cool,0.2929
1,11,1,31.06,51.8,4.86,50.41,1005.94,0,cool,0.3282
1,12,1,31.16,51.46,2.5,50.36,1013.68,0,cool,0.4426
1,13,1,31.06,51.8,4.75,60.29,1011.83,0,cool,0.4116
1,14,1,30.76,52.8,3.28,39.83,1013.69,0,cool,0.331
1,15,1,30.28,54.39,3.6,65.86,1011.77,0,cool,0.3351
1,16,1,29.66,56.46,3.46,22.94,1008.94,0,cool,0.3101
1,17,1,28.94,58.87,5.0,49.47,1005.48,0,cool,0.3482
1,18,1,28.16,61.46,2.33,68.63,1013.71,0,cool,0.338
1,19,1,27.39,64.05,4.45,54.31,1009.04,0,cool,0.3488
1,20,1,26.66,66.46,3.5,29.62,1013.08,0,cool,0.4433
1,21,1,26.04,68.53,4.18,36.13,1006.2,0,cool,0.4293
1,22,1,25.56,70.12,0.53,42.67,1008.25,0,cool,0.3816
1,23,1,25.26,71.12,2.25,51.73,1009.49,0,cool,0.3461
1,0,0,22.54,68.38,3.22,14.39,1011.68,0,cool,0.3143
1,1,0,22.64,68.04,4.39,32.79,1010.19,0,cool,0.375
1,2,0,22.94,67.04,0.62,38.75,1008.41,0,cool,0.3078
1,3,0,23.42,65.46,2.9,44.81,1011.08,0,cool,0.3116
1,4,0,24.04,63.38,4.16,55.89,1012.18,0,cool,0.3713
1,5,0,24.77,60.97,4.67,24.61,1005.6,0,cool,0.3752
1,6,0,25.54,58.38,2.08,66.07,1006.01,0,cool,0.1469
1,7,0,26.32,55.8,1.88,27.09,1013.03,0,cool,0.1856
1,8,0,27.04,53.38,1.9,42.35,1011.1,0,cool,0.1742
1,9,0,27.66,51.31,1.05,34.81,1006.81,0,cool,0.1684
1,10,0,28.14,49.72,1.32,50.87,1010.25,0,cool,0.1407
1,11,0,28.44,48.73,1.65,44.04,1014.63,0,cool,0.1611
1,12,0,28.54,48.38,4.13,39.01,1010.5,0,cool,0.2615
1,13,0,28.44,48.73,3.21,67.08,1013.19,0,cool,0.2492
1,14,0,28.14,49.72,1.53,63.05,1007.12,0,cool,0.1501
1,15,0,27.66,51.31,4.55,60.39,1008.53,0,cool,0.2095
1,16,0,27.04,53.38,4.01,24.21,1007.75,0,cool,0.1638
1,17,0,26.32,55.8,0.93,50.05,1011.24,0,cool,0.3298
1,18,0,25.54,58.38,3.14,37.11,1006.68,0,cool,0.3064
1,19,0,24.77,60.97,0.93,23.0,1005.24,0,cool,0.2909
1,20,0,24.04,63.38,3.23,48.52,1010.47,0,cool,0.3659
1,21,0,23.42,65.46,2.74,45.67,1014.88,0,cool,0.3373
1,22,0,22.94,67.04,3.63,18.19,1009.04,0,cool,0.3888
1,23,0,22.64,68.04,4.96,51.55,1006.28,0,cool,0.3189
1,0,0,23.95,72.33,0.86,26.45,1005.86,0,cool,0.3324
1,1,0,24.06,71.99,0.81,31.3,1010.19,0,cool,0.3421
1,2,0,24.36,70.99,4.1,14.06,1007.34,0,cool,0.3826
1,3,0,24.83,69.4,2.9,49.05,1008.24,0,cool,0.373
1,4,0,25.45,67.33,3.51,29.98,1014.94,0,cool,0.3964
1,5,0,26.18,64.92,2.59,53.84,1005.6,0,cool,0.435
1,6,0,26.95,62.33,4.81,43.74,1006.75,0,cool,0.1734
1,7,0,27.73,59.74,0.94,42.15,1009.5,0,cool,0.2126
1,8,0,28.45,57.33,2.06,55.37,1011.65,0,cool,0.1957
1,9,0,29.08,55.26,4.97,19.14,1014.27,0,cool,0.1308
1,10,0,29.55,53.67,4.29,42.4,1010.21,0,cool,0.1471
1,11,0,29.85,52.67,1.07,55.32,1013.26,0,cool,0.1685
1,12,0,29.95,52.33,3.69,56.92,1005.36,0,cool,0.2531
1,13,0,29.85,52.67,0.89,31.61,1014.37,0,cool,0.2556
1,14,0,29.55,53.67,1.87,43.23,1008.97,0,cool,0.2322
1,15,0,29.08,55.26,4.64,40.94,1009.97,0,cool,0.1628
